one_minus_t,purity
1.158640384674072266e-01,1.000000000000000000e+00
1.413303017616271973e-01,1.000000000000000000e+00
1.464927792549133301e-01,1.000000000000000000e+00
1.487607359886169434e-01,1.000000000000000000e+00
1.656042337417602539e-01,1.000000000000000000e+00
1.673044562339782715e-01,1.000000000000000000e+00
1.819095611572265625e-01,1.000000000000000000e+00
1.838048696517944336e-01,1.000000000000000000e+00
1.854336261749267578e-01,1.000000000000000000e+00
1.876383423805236816e-01,9.000000000000000222e-01
1.877648234367370605e-01,9.090909090909090606e-01
1.918648481369018555e-01,8.333333333333333703e-01
1.995944976806640625e-01,8.461538461538461453e-01
2.038481235504150391e-01,8.571428571428570953e-01
2.047296166419982910e-01,8.000000000000000444e-01
2.082117199897766113e-01,8.125000000000000000e-01
2.093364596366882324e-01,8.235294117647058432e-01
2.179324030876159668e-01,8.333333333333333703e-01
2.208071947097778320e-01,8.421052631578946901e-01
2.214016318321228027e-01,8.499999999999999778e-01
2.314809560775756836e-01,8.571428571428570953e-01
2.342984080314636230e-01,8.636363636363636465e-01
2.350242733955383301e-01,8.695652173913043237e-01
2.426842451095581055e-01,8.750000000000000000e-01
2.454066276550292969e-01,8.399999999999999689e-01
2.501022815704345703e-01,8.461538461538461453e-01
2.523750662803649902e-01,8.518518518518518601e-01
2.595911026000976562e-01,8.571428571428570953e-01
2.667245864868164062e-01,8.275862068965517127e-01
2.685927152633666992e-01,8.000000000000000444e-01
2.778581380844116211e-01,8.064516129032257563e-01
2.793429493904113770e-01,8.125000000000000000e-01
2.858573794364929199e-01,7.878787878787878451e-01
2.902992367744445801e-01,7.941176470588234837e-01
2.905212044715881348e-01,8.000000000000000444e-01
2.919294238090515137e-01,8.055555555555555802e-01
2.927445173263549805e-01,7.837837837837837718e-01
2.948747873306274414e-01,7.894736842105263275e-01
2.950282692909240723e-01,7.948717948717948234e-01
2.971681356430053711e-01,8.000000000000000444e-01
2.976513504981994629e-01,8.048780487804878536e-01
2.982193827629089355e-01,7.857142857142856984e-01
2.991517782211303711e-01,7.906976744186046124e-01
3.020646572113037109e-01,7.954545454545454142e-01
3.024845719337463379e-01,8.000000000000000444e-01
3.038042187690734863e-01,8.043478260869565410e-01
3.045204877853393555e-01,8.085106382978722861e-01
3.054010272026062012e-01,7.916666666666666297e-01
3.071970939636230469e-01,7.959183673469387710e-01
3.094915747642517090e-01,8.000000000000000444e-01
3.115882277488708496e-01,7.843137254901960675e-01
3.118663430213928223e-01,7.884615384615384359e-01
3.139584660530090332e-01,7.924528301886792914e-01
3.144037723541259766e-01,7.777777777777777901e-01
3.150474429130554199e-01,7.818181818181818565e-01
3.154026865959167480e-01,7.678571428571429047e-01
3.160538077354431152e-01,7.719298245614034659e-01
3.161864876747131348e-01,7.758620689655172376e-01
3.215676546096801758e-01,7.796610169491525744e-01
3.219028115272521973e-01,7.666666666666667185e-01
3.227403759956359863e-01,7.704918032786884918e-01
3.228355050086975098e-01,7.580645161290322509e-01
3.250147104263305664e-01,7.619047619047618625e-01
3.256596922874450684e-01,7.656250000000000000e-01
3.274600505828857422e-01,7.538461538461538325e-01
3.277063965797424316e-01,7.575757575757575690e-01
3.285046219825744629e-01,7.611940298507462455e-01
3.306586146354675293e-01,7.647058823529411242e-01
3.315665721893310547e-01,7.536231884057971175e-01
3.340205550193786621e-01,7.571428571428571175e-01
3.343150615692138672e-01,7.464788732394366244e-01
3.345916271209716797e-01,7.500000000000000000e-01
3.347870707511901855e-01,7.397260273972602329e-01
3.355153799057006836e-01,7.297297297297297147e-01
3.363326191902160645e-01,7.199999999999999734e-01
3.382489681243896484e-01,7.105263157894736725e-01
3.385992646217346191e-01,7.142857142857143016e-01
3.411795496940612793e-01,7.051282051282051766e-01
3.426724076271057129e-01,6.962025316455696666e-01
3.432945609092712402e-01,6.999999999999999556e-01
3.456943631172180176e-01,6.913580246913579863e-01
3.460127711296081543e-01,6.951219512195121464e-01
3.471680879592895508e-01,6.987951807228915957e-01
3.476601243019104004e-01,7.023809523809523281e-01
3.477750420570373535e-01,7.058823529411765163e-01
3.501945734024047852e-01,7.093023255813953876e-01
3.504633903503417969e-01,7.126436781609195581e-01
3.506531715393066406e-01,7.045454545454545858e-01
3.518496751785278320e-01,6.966292134831461036e-01
3.524011969566345215e-01,6.999999999999999556e-01
3.544338941574096680e-01,6.923076923076922906e-01
3.551410436630249023e-01,6.847826086956522174e-01
3.556015491485595703e-01,6.881720430107527431e-01
3.557882905006408691e-01,6.914893617021277139e-01
3.563389778137207031e-01,6.947368421052632081e-01
3.584757447242736816e-01,6.875000000000000000e-01
3.588993549346923828e-01,6.907216494845360710e-01
3.590191006660461426e-01,6.938775510204081565e-01
3.596708774566650391e-01,6.969696969696970168e-01
3.597117066383361816e-01,6.899999999999999467e-01
3.598948121070861816e-01,6.930693069306930187e-01
3.599220514297485352e-01,6.862745098039215730e-01
3.604892492294311523e-01,6.893203883495145901e-01
3.612779378890991211e-01,6.923076923076922906e-01
3.617848753929138184e-01,6.952380952380952106e-01
3.623365759849548340e-01,6.981132075471697673e-01
3.636240959167480469e-01,7.009345794392523032e-01
3.636300563812255859e-01,6.944444444444444198e-01
3.638167381286621094e-01,6.880733944954128267e-01
3.648875951766967773e-01,6.909090909090909172e-01
3.658564686775207520e-01,6.936936936936937137e-01
3.665460944175720215e-01,6.964285714285713969e-01
3.668889999389648438e-01,6.991150442477875870e-01
3.673463463783264160e-01,7.017543859649122417e-01
3.688467741012573242e-01,6.956521739130434590e-01
3.689296841621398926e-01,6.982758620689655249e-01
3.690692782402038574e-01,6.923076923076922906e-01
3.696234226226806641e-01,6.949152542372881713e-01
3.727359175682067871e-01,6.890756302521008347e-01
3.733601570129394531e-01,6.916666666666666519e-01
3.735018968582153320e-01,6.859504132231405427e-01
3.738652467727661133e-01,6.803278688524589946e-01
3.739770054817199707e-01,6.747967479674796820e-01
3.741797208786010742e-01,6.693548387096773800e-01
3.747186660766601562e-01,6.720000000000000417e-01
3.753461241722106934e-01,6.666666666666666297e-01
3.770420551300048828e-01,6.614173228346457156e-01
3.771680593490600586e-01,6.640625000000000000e-01
3.772503733634948730e-01,6.666666666666666297e-01
3.778839111328125000e-01,6.692307692307691847e-01
3.779396414756774902e-01,6.641221374045801484e-01
3.785159587860107422e-01,6.666666666666666297e-01
3.786039948463439941e-01,6.691729323308270860e-01
3.792132735252380371e-01,6.716417910447761708e-01
3.796729445457458496e-01,6.740740740740740478e-01
3.802358508110046387e-01,6.691176470588234837e-01
3.804321289062500000e-01,6.642335766423357324e-01
